District,Pre_Pandemic_Avg,Pandemic_Avg,Percent_Change
Aizawl,12281.666666666666,15101.0,22.95562491518524
Champhai,4.0,668.0,16600.0
Hnahthial,0.0,0.0,
Khawzawl,0.0,0.0,
Kolasib,1228.6666666666667,1668.6666666666667,35.81117742810635
Lawngtlai,35.0,450.6666666666667,1187.6190476190477
Lunglei,190.0,872.6666666666666,359.29824561403507
Mamit,1023.6666666666666,2173.0,112.27613155324
Saitual,0.0,0.0,
Serchhip,738.0,1621.6666666666667,119.73803071364048
Siaha,2.6666666666666665,18.0,575.0000000000001
